Scenarios,Production TRUNC,degree trun,distance,height,section
scenario 8,89%,78,20%,0,100%
scenario 9,73%,79,20%,10%,100%
scenario 10,57%,80,20%,20%,100%
scenario 11,51%,81,20%,30%,100%
scenario 12,48%,81,20%,40%,100%
scenario 13,46%,82,20%,50%,100%
scenario 14,45%,82,20%,60%,100%
scenario 15,45%,83,20%,70%,100%
scenario 16,45%,83,20%,80%,100%
scenario 17,45%,83,20%,90%,100%
scenario 18,44%,84,20%,100%,100%
scenario 19,44%,85,20%,150%,100%
scenario 20,43%,86,20%,200%,100%
scenario 21,43%,86,20%,250%,100%
scenario 22,43%,87,20%,300%,100%
scenario 30,57%,75,20%,0,80%
scenario 31,51%,77,20%,10%,80%
scenario 32,48%,78,20%,20%,80%
scenario 33,46%,79,20%,30%,80%
scenario 34,45%,80,20%,40%,80%
scenario 35,45%,81,20%,50%,80%
scenario 36,45%,81,20%,60%,80%
scenario 37,45%,82,20%,70%,80%
scenario 38,44%,82,20%,80%,80%
scenario 39,44%,83,20%,90%,80%
scenario 40,44%,83,20%,100%,80%
scenario 41,43%,85,20%,150%,80%
scenario 42,43%,85,20%,200%,80%
scenario 43,43%,86,20%,250%,80%
scenario 44,43%,86,20%,300%,80%
scenario 52,48%,71,20%,0,60%
scenario 53,46%,74,20%,10%,60%
scenario 54,45%,75,20%,20%,60%
scenario 55,45%,77,20%,30%,60%
scenario 56,45%,78,20%,40%,60%
scenario 57,44%,79,20%,50%,60%
scenario 58,44%,80,20%,60%,60%
scenario 59,44%,81,20%,70%,60%
scenario 60,44%,81,20%,80%,60%
scenario 61,44%,82,20%,90%,60%
scenario 62,44%,82,20%,100%,60%
scenario 63,43%,84,20%,150%,60%
scenario 64,43%,85,20%,200%,60%
scenario 65,43%,86,20%,250%,60%
scenario 66,43%,86,20%,300%,60%
scenario 74,45%,63,20%,0,40%
scenario 75,45%,68,20%,10%,40%
scenario 76,45%,71,20%,20%,40%
scenario 77,44%,74,20%,30%,40%
scenario 78,44%,75,20%,40%,40%
scenario 79,44%,77,20%,50%,40%
scenario 80,44%,78,20%,60%,40%
scenario 81,44%,79,20%,70%,40%
scenario 82,44%,80,20%,80%,40%
scenario 83,43%,81,20%,90%,40%
scenario 84,43%,81,20%,100%,40%
scenario 85,43%,83,20%,150%,40%
scenario 86,43%,85,20%,200%,40%
scenario 87,43%,86,20%,250%,40%
scenario 88,43%,86,20%,300%,40%
scenario 96,45%,45,20%,0,20%
scenario 97,44%,56,20%,10%,20%
scenario 98,44%,63,20%,20%,20%
scenario 99,44%,68,20%,30%,20%
scenario 100,44%,71,20%,40%,20%
scenario 101,44%,74,20%,50%,20%
scenario 102,44%,75,20%,60%,20%
scenario 103,44%,77,20%,70%,20%
scenario 104,44%,78,20%,80%,20%
scenario 105,44%,79,20%,90%,20%
scenario 106,44%,80,20%,100%,20%
scenario 107,43%,83,20%,150%,20%
scenario 108,43%,84,20%,200%,20%
scenario 109,43%,85,20%,250%,20%
scenario 110,43%,86,20%,300%,20%
scenario 118,95%,68,40%,0,100%
scenario 119,93%,70,40%,10%,100%
scenario 120,89%,71,40%,20%,100%
scenario 121,81%,72,40%,30%,100%
scenario 122,73%,74,40%,40%,100%
scenario 123,69%,75,40%,50%,100%
scenario 124,69%,75,40%,60%,100%
scenario 125,65%,76,40%,70%,100%
scenario 126,64%,77,40%,80%,100%
scenario 127,63%,78,40%,90%,100%
scenario 128,62%,78,40%,100%,100%
scenario 129,62%,80,40%,150%,100%
scenario 130,62%,82,40%,200%,100%
scenario 131,61%,83,40%,250%,100%
scenario 132,61%,84,40%,300%,100%
scenario 140,89%,63,40%,0,80%
scenario 141,81%,66,40%,10%,80%
scenario 142,73%,68,40%,20%,80%
scenario 143,69%,70,40%,30%,80%
scenario 144,67%,71,40%,40%,80%
scenario 145,65%,72,40%,50%,80%
scenario 146,64%,74,40%,60%,80%
scenario 147,63%,75,40%,70%,80%
scenario 148,63%,75,40%,80%,80%
scenario 149,62%,76,40%,90%,80%
scenario 150,62%,77,40%,100%,80%
scenario 151,62%,80,40%,150%,80%
scenario 152,61%,81,40%,200%,80%
scenario 153,61%,83,40%,250%,80%
scenario 154,61%,83,40%,300%,80%
scenario 162,73%,56,40%,0,60%
scenario 163,69%,60,40%,10%,60%
scenario 164,66%,63,40%,20%,60%
scenario 165,65%,66,40%,30%,60%
scenario 166,64%,68,40%,40%,60%
scenario 167,64%,70,40%,50%,60%
scenario 168,63%,71,40%,60%,60%
scenario 169,62%,72,40%,70%,60%
scenario 170,62%,74,40%,80%,60%
scenario 171,62%,75,40%,90%,60%
scenario 172,61%,75,40%,100%,60%
scenario 173,61%,79,40%,150%,60%
scenario 174,61%,81,40%,200%,60%
scenario 175,61%,82,40%,250%,60%
scenario 176,61%,83,40%,300%,60%
scenario 184,67%,45,40%,0,40%
scenario 185,65%,51,40%,10%,40%
scenario 186,65%,56,40%,20%,40%
scenario 187,64%,60,40%,30%,40%
scenario 188,63%,63,40%,40%,40%
scenario 189,62%,66,40%,50%,40%
scenario 190,62%,68,40%,60%,40%
scenario 191,62%,70,40%,70%,40%
scenario 192,62%,71,40%,80%,40%
scenario 193,62%,72,40%,90%,40%
scenario 194,61%,74,40%,100%,40%
scenario 195,61%,78,40%,150%,40%
scenario 196,61%,80,40%,200%,40%
scenario 197,61%,82,40%,250%,40%
scenario 198,61%,83,40%,300%,40%
scenario 206,64%,26,40%,0,20%
scenario 207,63%,36,40%,10%,20%
scenario 208,63%,45,40%,20%,20%
scenario 209,62%,51,40%,30%,20%
scenario 210,62%,56,40%,40%,20%
scenario 211,62%,60,40%,50%,20%
scenario 212,62%,63,40%,60%,20%
scenario 213,62%,66,40%,70%,20%
scenario 214,62%,68,40%,80%,20%
scenario 215,62%,70,40%,90%,20%
scenario 216,61%,71,40%,100%,20%
scenario 217,61%,76,40%,150%,20%
scenario 218,61%,79,40%,200%,20%
scenario 219,61%,81,40%,250%,20%
scenario 220,61%,82,40%,300%,20%
scenario 228,95%,59,60%,0%,100%
scenario 229,94%,61,60%,10%,100%
scenario 230,93%,63,60%,20%,100%
scenario 231,91%,65,60%,30%,100%
scenario 232,86%,66,60%,40%,100%
scenario 233,82%,68,60%,50%,100%
scenario 234,79%,69,60%,60%,100%
scenario 235,78%,70,60%,70%,100%
scenario 236,76%,71,60%,80%,100%
scenario 237,75%,72,60%,90%,100%
scenario 238,74%,73,60%,100%,100%
scenario 239,74%,76,60%,150%,100%
